"d_local","Air temperature (°C)","Wind speed (m.s-1)","Atmospheric pressure (Pa)","Shortwave radiation (W.m-2)","Longwave radiation (W.m-2)","Specific humidity (kg.kg-1)","Relative humidity (%)","Precipitation (mm)","measure_height_m","rheight_m","2m Wind speed (m.s-1)","Snow depth (cm)","Field snow depth (cm)","Snowfall probability","Snowfall (liquid equivalent, mm)"
2019-07-14,19.0083333333333,2.7086261200917,100238.333333333,257.229582965437,365.873001529321,0.0109310438360879,80.8333333333333,3,10,0.12,1.72297955296531,0,NA,3.63891668338539e-11,0
2019-07-15,19.75,2.39631752603768,100633.333333333,292.044943169909,346.823812305031,0.0100166070425108,71.8333333333333,0,10,0.12,1.52431746454382,0,NA,2.87466464694734e-11,0
2019-07-16,21.0791666666667,2.9079349304871,100395.833333333,224.28759737544,370.429699175554,0.0117631043763393,76,0,10,0.12,1.84976154125444,0,NA,3.03252654689246e-12,0
2019-07-17,22.4833333333333,2.6458972923684,100122.083333333,165.766424098847,394.02340236253,0.0138892706632914,81.1666666666667,10.5,10,0.12,1.68307722508512,0,NA,2.63032183367671e-13,0
2019-07-18,19.1166666666667,1.61433563719396,100525,332.970554297175,325.861784764007,0.00910177251926296,68.9166666666667,0,10,0.12,1.02689229564627,0,NA,9.12881617355384e-11,0
2019-07-19,23.7166666666667,3.5725800088234,99724.1666666667,239.721154519109,399.694907053229,0.0155652048033793,84.1666666666667,9.5,10,0.12,2.27254779124959,0,NA,3.52785946058712e-14,0
2019-07-20,26.5041666666667,3.16395717922988,99621.6666666667,294.353986299379,403.502308161377,0.017210881193801,79.8333333333333,0,10,0.12,2.01261941832205,0,NA,1.02316564523312e-15,0
2019-07-21,23.2833333333333,2.48661431406626,99627.9166666667,245.068985540662,397.33127244529,0.0152217677259227,84.8333333333333,6.6,10,0.12,1.5817560007514,0,NA,6.12079078808707e-14,0
2019-07-22,17.4,1.14297113156381,100315,211.359134192988,344.606381899645,0.00910738646304999,74.6666666666667,0,10,0.12,0.727053421919818,0,NA,6.121767912064e-10,0
2019-07-23,18.4125,1.88067695072016,100123.333333333,259.092065867037,351.155111805661,0.0101688347610643,79.1666666666667,0.8,10,0.12,1.19631421545705,0,NA,9.7944022434956e-11,0
2019-07-24,16.0666666666667,1.79731363546197,100594.166666667,226.231768123601,345.063270032623,0.00868535112643899,78.875,0,10,0.12,1.14328611881727,0,NA,2.74701765526268e-09,0
2019-07-25,18.2541666666667,1.79697664253239,100887.5,254.827960276532,346.866455197442,0.00972892561495374,76.9583333333333,0,10,0.12,1.14307175481817,0,NA,1.49365469147398e-10,0
2019-07-26,21.6291666666667,2.07057589505163,101300.833333333,314.944769489291,351.11246891325,0.0122076840081254,77.625,0,10,0.12,1.31711050985361,0,NA,1.20640651174952e-12,0
2019-07-27,22.5708333333333,2.21030455798946,101187.083333333,285.891125395617,364.551071864572,0.0122360165504596,74.3333333333333,0,10,0.12,1.40599307190944,0,NA,4.30049962978188e-13,0
2019-07-28,23.6666666666667,3.54054291206007,100443.75,196.845926787244,384.252088158577,0.0135827630024209,74.4166666666667,0,10,0.12,2.25216872813337,0,NA,9.1037944752645e-14,0
2019-07-29,23.6166666666667,2.4865569138492,100277.083333333,277.896608145473,382.327066158297,0.0140284175256793,78.6666666666667,0,10,0.12,1.58171948799698,0,NA,6.66380939268071e-14,0
2019-07-30,23.7916666666667,2.9002271214718,100260.416666667,273.087916911225,397.879538204863,0.0145191603525156,79.5833333333333,0,10,0.12,1.84485853997531,0,NA,4.79436515325161e-14,0
2019-07-31,22.4333333333333,1.94807824310769,100491.25,191.819401295499,403.362195800597,0.0141088257954797,84.2916666666667,0.7,10,0.12,1.23918873688536,0,NA,2.13049896663223e-13,0
2019-08-01,18.7756122874963,2.14101915779122,100845.619480834,294.686183542062,338.417070658239,0.00867830524068001,68.7873190584099,0.0005771872864171,10,0.12,1.36192005386716,0,NA,1.49388317743359e-10,0
2019-08-02,19.4083333333333,2.60857928922355,100933.75,303.867897495564,336.839283639022,0.0091171330154851,68.5,0,10,0.12,1.65933893359516,0,NA,6.28198505988414e-11,0
2019-08-03,19.25,2.84722222222222,100429.166666667,262.267000170057,348.590446419212,0.0103866827333029,76.5,0,10,0.12,1.81114168369286,0,NA,3.82261989105757e-11,0
2019-08-04,15.7458333333333,2.11805555555556,100515,255.846335430331,328.724950397335,0.00775872441093501,72.2083333333333,0,10,0.12,1.34731271591786,0,NA,7.868683983567e-09,0
2019-08-05,16.0291666666667,1.70138888888889,100477.5,299.636467043683,324.381467213159,0.00787939817757141,73.1666666666667,0,10,0.12,1.082267591475,0,NA,4.84109450279869e-09,0
2019-08-06,21.3458333333333,2.68518518518518,99954.1666666667,267.326200800427,359.63495555373,0.010757995246294,70.2083333333333,0,10,0.12,1.70806857974286,0,NA,3.50659722582866e-12,0
2019-08-07,21.1416666666667,1.64351851851852,99858.75,160.876045018038,399.700998895002,0.0142502876903308,90.3333333333333,5.1,10,0.12,1.04545576863572,0,NA,7.64350455142188e-13,0
2019-08-08,21.125,2.68518518518519,99246.6666666667,152.963215614456,395.515903596924,0.013518310040872,86.375,7,10,0.12,1.70806857974286,0,NA,1.11741850193334e-12,0
2019-08-09,18.3791666666667,3.19444444444444,99340,231.487019585719,349.894100558642,0.0108748713883887,82.6666666666667,6.4,10,0.12,2.03201262072857,0,NA,7.49181448747366e-11,0
2019-08-10,15.275,2.87037037037037,99695.4166666667,227.941767044954,341.578736538445,0.00934106052759114,86.375,2.4,10,0.12,1.82586641282857,0,NA,4.2706491125415e-09,0
