CM_smpl1_suction_kPa,CM_smpl1_VWC_percent,CM_smpl2_suction_kPa,CM_smpl2_VWC_percent,CM_smpl3_suction_kPa,CM_smpl3_VWC_percent,CM_smpl4_suction_kPa,CM_smpl4_VWC_percent,CM_smpl5_suction_kPa,CM_smpl5_VWC_percent,CM_smpl6_suction_kPa,CM_smpl6_VWC_percent,CM_smpl7_suction_kPa,CM_smpl7_VWC_percent,CM_smpl8_suction_kPa,CM_smpl8_VWC_percent,CM_smpl9_suction_kPa,CM_smpl9_VWC_percent,CM_smpl10_suction_kPa,CM_smpl10_VWC_percent,CM_smpl11_suction_kPa,CM_smpl11_VWC_percent,CM_smpl12_suction_kPa,CM_smpl12_VWC_percent,CM_smpl13_suction_kPa,CM_smpl13_VWC_percent,CM_smpl14_suction_kPa,CM_smpl14_VWC_percent,AB_smpl1_suction_kPa,AB_smpl1_VWC_percent,AB_smpl2_suction_kPa,AB_smpl2_VWC_percent,AB_smpl3_suction_kPa,AB_smpl3_VWC_percent,AB_smpl4_suction_kPa,AB_smpl4_VWC_percent,AB_smpl5_suction_kPa,AB_smpl5_VWC_percent,AB_smpl6_suction_kPa,AB_smpl6_VWC_percent,AB_smpl7_suction_kPa,AB_smpl7_VWC_percent,AB_smpl8_suction_kPa,AB_smpl8_VWC_percent,BC_smpl1_suction_kPa,BC_smpl1_VWC_percent
15.84893192,8.64,6.729766563,18.58,10.3038612,11.01,69.82324041,3.4,26.00159563,7.42,,,59.84115951,4.54,15.41700453,10.07,,,12.0503594,12.31,9.66050879,14.69,6.501296903,17.6,23.87811283,7.77,83.75292821,3.12,,,44.87453899,19.17,,,,,,,,,,,,,,
18.53531623,7.87,6.823386941,18.16,10.99005839,10.41,71.9448978,3.21,30.76096815,6.82,,,68.39116473,4.11,17.70108958,9.52,,,12.94195841,11.91,10.28016298,14.18,6.60693448,17.32,26.79168325,7.27,86.29785478,2.93,,,47.97334486,18.95,,,,,,,,,,,,,,
22.1309471,7.14,6.918309709,17.76,11.80320636,9.82,73.62070975,3.02,37.23917063,6.24,,,74.64487584,3.72,21.33044913,8.95,,,14.06047524,11.49,11.0153931,13.66,6.714288529,17.02,30.33891184,6.83,87.29713684,2.76,,,51.64163693,18.72,,,,,,,,,,,,,,
27.03958364,6.44,7.014552984,17.34,12.76438809,9.23,73.45138682,2.83,45.70881896,5.68,,,80.35261222,3.37,27.28977783,8.35,,,15.48816619,11.04,11.93988104,13.13,6.839116473,16.7,34.51437393,6.43,87.29713684,2.59,,,55.33501092,18.49,,,,,,,,,,,,,,
33.65115694,5.79,7.144963261,16.91,13.86755829,8.66,72.27698036,2.67,56.23413252,5.17,,,84.33347578,3.05,36.55947916,7.75,,,17.29816359,10.58,13.09181923,12.59,6.99841996,16.36,39.53666201,6.08,87.096359,2.44,,,59.29253246,18.27,,,,,,,,,,,,,,
42.07266284,5.23,7.277798045,16.44,15.17050367,8.09,70.9577768,2.5,65.16283941,4.73,,,85.3100114,2.77,50.11872336,7.19,,,19.58844674,10.13,14.48771854,12.07,7.161434102,15.98,45.49880602,5.76,,,,,63.53309319,18.04,,,,,,,,,,,,,,
51.2861384,4.75,7.413102413,15.96,16.78804018,7.51,69.9841996,2.34,69.9841996,4.35,,,,,64.41692655,6.66,,,22.54239212,9.67,16.21810097,11.55,7.379042301,15.55,52.36004366,5.47,,,,,68.23386941,17.81,,,,,,,,,,,,,,
59.02010802,4.34,7.56832895,15.48,18.79316817,6.94,,,73.45138682,4.03,,,,,76.03262769,6.18,,,26.30267992,9.22,18.62087137,11.01,7.6207901,15.09,58.74893525,5.2,,,,,73.28245331,17.57,,,,,,,,,,,,,,
63.97348355,3.99,7.726805851,15,21.3796209,6.36,,,76.91304403,3.74,,,,,86.09937522,5.72,,,31.26079367,8.77,21.87761624,10.45,7.943282347,14.57,63.09573445,4.96,,,,,78.16278046,17.32,,,,,,,,,,,,,,
67.92036326,3.71,7.90678628,14.51,24.66039337,5.78,,,79.61593504,3.48,,,,,97.05099672,5.31,,,38.01893963,8.29,25.88212915,9.95,8.317637711,13.99,65.76578374,4.72,,,,,82.79421637,17.07,,,,,,,,,,,,,,
72.61059574,3.43,8.109610579,14.03,29.04022654,5.2,,,79.61593504,3.23,,,,,,,,,46.98941086,7.82,30.8318795,9.48,8.770008211,13.38,68.23386941,4.51,,,,,,,,,,,,,,,,,,,,
77.8036551,3.2,8.317637711,13.55,34.67368505,4.65,,,,,,,,,,,,,56.88529308,7.35,37.41105883,9.02,9.311078755,12.75,71.28530301,4.3,,,,,,,,,,,,,,,,,,,,
83.75292821,2.94,8.550667129,13.06,41.39996748,4.18,,,,,,,,,,,,,,,46.02565736,8.56,9.954054174,12.14,74.98942093,4.11,,,,,,,,,,,,,,,,,,,,
90.15711376,2.71,8.790225168,12.58,49.54501908,3.77,,,,,,,,,,,,,,,57.14786367,8.11,10.59253725,11.62,79.0678628,3.92,,,,,,,,,,,,,,,,,,,,
97.27472238,2.62,9.078205302,12.1,59.02010802,3.41,,,,,,,,,,,,,,,66.98846094,7.65,11.27197456,11.17,80.35261222,3.74,,,,,,,,,,,,,,,,,,,,
91.41132415,2.48,9.397233106,11.6,65.16283941,3.11,,,,,,,,,,,,,,,73.96052751,7.19,12.0503594,10.71,,,,,,,,,,,,,,,,,,,,,,
,,9.77237221,11.1,67.45280277,2.84,,,,,,,,,,,,,,,81.09610579,6.72,13.06170888,10.23,,,,,,,,,,,,,,,,,,,,,,
,,10.20939484,10.62,70.79457844,2.59,,,,,,,,,,,,,,,89.53647655,6.27,14.38798578,9.71,,,,,,,,,,,,,,,,,,,,,,
,,10.66596121,10.13,74.81695005,2.36,,,,,,,,,,,,,,,,,15.99558029,9.19,,,,,,,,,,,,,,,,,,,,,,
,,11.16863248,9.64,79.61593504,2.14,,,,,,,,,,,,,,,,,18.15515663,8.65,,,,,,,,,,,,,,,,,,,,,,
,,11.77605974,9.14,84.9180475,1.94,,,,,,,,,,,,,,,,,21.28139046,8.04,,,,,,,,,,,,,,,,,,,,,,
,,12.61827535,8.62,90.36494737,1.74,,,,,,,,,,,,,,,,,25.88212915,7.4,,,,,,,,,,,,,,,,,,,,,,
,,13.74041975,8.09,,,,,,,,,,,,,,,,,,,32.5836701,6.74,,,,,,,,,,,,,,,,,,,,,,
,,15.27566058,7.58,,,,,,,,,,,,,,,,,,,42.3642966,6.11,,,,,,,,,,,,,,,,,,,,,,
,,17.33803998,7.08,,,,,,,,,,,,,,,,,,,55.59042573,5.51,,,,,,,,,,,,,,,,,,,,,,
,,20.04472027,6.6,,,,,,,,,,,,,,,,,,,66.98846094,4.99,,,,,,,,,,,,,,,,,,,,,,
,,23.55049284,6.15,,,,,,,,,,,,,,,,,,,74.13102413,4.59,,,,,,,,,,,,,,,,,,,,,,
,,27.92543841,5.75,,,,,,,,,,,,,,,,,,,80.35261222,4.23,,,,,,,,,,,,,,,,,,,,,,
,,33.26595533,5.38,,,,,,,,,,,,,,,,,,,84.52788452,3.88,,,,,,,,,,,,,,,,,,,,,,
,,39.53666201,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46.45152752,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53.57966575,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59.97910763,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
